"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"47","My heart goes out to those on board the missing AirAsia flight , their friends and relatives at this difficult time.",FALSE,1938,NA,2014-12-28 16:33:54,FALSE,NA,"549241845067157504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",887,FALSE,FALSE,NA,NA
"48","@AfzalkhanpkKhan   Thank you afzalkhan",FALSE,213,"AfzalkhanpkKhan",2014-12-25 14:13:42,FALSE,"548082656231948288","548119397391294464","2933802163","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",30,FALSE,FALSE,NA,NA
"49","My deepest condolences go out to the families of the innocent students in Pakistan who were shot yesterday  in an unforgivable massacre.",FALSE,1253,NA,2014-12-17 12:39:18,FALSE,NA,"545196537253335040",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",496,FALSE,FALSE,NA,NA
"50","I salute the govt for encouraging new airlines to fly in India, so that travellers can reach their destinations faster at affordable prices.",FALSE,1413,NA,2014-12-17 12:27:35,FALSE,NA,"545193587982356480",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",564,FALSE,FALSE,NA,NA
"51","#bringbackourgirls it is time to rescue the #ChibokGirls and bring them home – supporting @GoceanC Commissioner @obyezeks &amp; all her efforts",FALSE,882,NA,2014-10-20 04:50:09,FALSE,NA,"524059974456979456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",312,FALSE,FALSE,NA,NA
"52","Help us reach 250,000 voices for #highseas #ocean health and protection. Sign and retweet @GOceanC petition! http://t.co/vdvawTBMbG",FALSE,814,NA,2014-09-12 11:02:48,FALSE,NA,"510383016162512896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",851,FALSE,FALSE,NA,NA
"53","If you care for the #ocean as I do, please click here and sign the @GOceanC petition http://t.co/vdvawTBMbG",FALSE,755,NA,2014-09-10 04:13:15,FALSE,NA,"509555173375504385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",519,FALSE,FALSE,NA,NA
"54","The #ocean is essential for all life on earth - ­ time to protect it.
Please join me and sign the petition http://t.co/vdvawTBMbG",FALSE,813,NA,2014-09-05 15:37:08,FALSE,NA,"507915342417375233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",578,FALSE,FALSE,NA,NA
"55","Tks 4 suprt.Nev spoke of ind dev in State-only view fm car in Rajarhat fm airprt 2 Sonar.Mitra's angr needless.C link http://t.co/F7XH3pyNvX",FALSE,996,NA,2014-08-07 12:43:31,FALSE,NA,"497362400064987136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",691,FALSE,FALSE,NA,NA
"56","The nation voted 4 change. We need 2 stand together 2 support the new Govt's actions  to re-build economic growth and prosperity in India.",FALSE,2078,NA,2014-06-25 10:06:42,FALSE,NA,"481740256082161664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",2229,FALSE,FALSE,NA,NA
